"","IncidentType","Category","FloorConditions","Weather","RiskAssessment","IncidentLocation","OccurredOnEmployerPremises","InjuredPartyType","EmplType","WasProtectiveClothingWorn","WasMechHandlingEquiUsed","LengthEmplCat","TotalDaysUnfitForWork","RiddorReportable","InjuredPartysAge","Brand","Months"
"2592","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Wet/Cold","Y","Warehouse","Y","Full-Time","Counter Sales Staff","Y","N","10-20 Years",0,"N",41,"Gibbs and Dandy Group","July"
"2593","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Counter Sales Staff","Y","N","10-20 Years",0,"N",41,"International Decorative Surfaces","December"
"2594","First Aid Injury (TF3)","Fall from a height","Normal","Dry/Hot","Y","Stockyard","Y","Temporary Worker/Agency","HGV/LGV Driver","Y","N","3-5 Years",0,"N",67,"Gibbs and Dandy Group","November"
"2595","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Offices/Showroom","Y","Full-Time","Counter Sales Staff","N","N","10-20 Years",0,"N",53,"Jewson","August"
"2596","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","N","Stockyard","Y","Full-Time","Internal Sales Office Staff","N","N","5-10 Years",0,"N",22,"Jewson","December"
"2597","First Aid Injury (TF3)","Struck by flying objects/debris","Normal","Wet/Cold","Y","Maintenance Workshop/Area","Y","Full-Time","Management Staff","Y","N","20+ Years",0,"N",54,"George Boyd","July"
"2598","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","N","N","0-3 Months",0,"N",34,"Jewson","August"
"2599","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","20+ Years",0,"N",62,"Jewson","January"
"2600","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Hot","Y","Offsite","Y","Temporary Worker/Agency","Yard/Warehouse Operative","Y","N","10-20 Years",0,"N",58,"International Decorative Surfaces","April"
"2601","First Aid Injury (TF3)","Struck against stationary object","Normal","Dry/Hot","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","Y","N","10-20 Years",0,"N",55,"Jewson","January"
"2602","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","10-20 Years",0,"N",26,"Jewson","February"
"2603","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",0,"N",48,"Jewson","May"
"2604","First Aid Injury (TF3)","Struck by flying objects/debris","Normal","Dry/Hot","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",49,"Graham","July"
"2605","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Hot","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","2-3 Years",0,"N",42,"J.P. Corry Group Ltd","December"
"2606","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",49,"Jewson","August"
"2607","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Internal Sales Office Staff","Y","N","5-10 Years",0,"N",52,"Jewson","April"
"2608","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","N","N","20+ Years",0,"N",50,"Jewson","July"
"2609","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","N","N","3-5 Years",0,"N",58,"Jewson","October"
"2610","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",59,"Jewson","August"
"2611","First Aid Injury (TF3)","Struck against stationary object","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",54,"Jewson Civils","October"
"2612","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Contractor (<=10hrs/wk)","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",58,"Jewson","June"
"2613","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","5-10 Years",0,"N",42,"Jewson","March"
"2614","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Maintenance Workshop/Area","Y","Full-Time","Management Staff","Y","N","5-10 Years",0,"N",57,"Ceramic Tile Distributors","March"
"2615","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","Y","6-12 Months",0,"N",36,"Jewson","December"
"2616","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","3-5 Years",0,"N",42,"Jewson","January"
"2617","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",66,"Jewson","September"
"2618","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","2-3 Years",0,"N",44,"Jewson","February"
"2619","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","10-20 Years",0,"N",27,"Jewson","July"
"2620","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","5-10 Years",0,"N",62,"Jewson","January"
"2621","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Cold","N","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","N","N","3-5 Years",0,"N",61,"Ceramic Tile Distributors","April"
"2622","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offices/Showroom","Y","Full-Time","Counter Sales Staff","N","N","3-6 Months",0,"N",55,"Jewson","September"
"2623","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Stockyard","Y","Member Of Public","Yard/Warehouse Operative","N","N","2-3 Years",0,"N",26,"Jewson","April"
"2624","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","10-20 Years",0,"N",40,"Jewson","July"
"2625","First Aid Injury (TF3)","Manual Handling","Normal","Dry/Hot","Y","Stockyard","Y","Member Of Public","Yard/Warehouse Operative","N","N","10-20 Years",0,"N",48,"Jewson","February"
"2626","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","N","Warehouse","Y","Full-Time","Management Staff","Y","N","10-20 Years",0,"N",40,"Graham","February"
"2627","First Aid Injury (TF3)","Slipped, trip or fall (level)","Normal","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",0,"N",51,"Jewson","October"
"2628","First Aid Injury (TF3)","Manual Handling","Wet","Icy/Cold","N","Stockyard","Y","Contractor (<=10hrs/wk)","Management Staff","N","N","3-5 Years",0,"N",27,"Jewson","January"
"2629","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","Management Staff","Y","N","10-20 Years",0,"N",40,"Jewson","October"
"2630","First Aid Injury (TF3)","Manual Handling","Dry","Wind","Y","Offices/Showroom","Y","Full-Time","Counter Sales Staff","N","N","1-2 Years",0,"N",28,"Jewson","April"
"2631","First Aid Injury (TF3)","Struck by flying objects/debris","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","Counter Sales Staff","Y","N","1-2 Years",0,"N",28,"Ideal Bathrooms Ltd","August"
"2632","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","N","Stockyard","Y","Full-Time","Management Staff","Y","N","10-20 Years",0,"N",40,"Normans","January"
"2633","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Dry/Hot","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",0,"N",57,"Jewson","June"
"2634","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",0,"N",57,"Jewson","June"
"2635","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",0,"N",57,"International Timber","October"
"2636","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Warehouse","Y","Part-Time","Counter Sales Staff","Y","N","5-10 Years",0,"N",65,"Jewson","April"
"2637","First Aid Injury (TF3)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Management Staff","N","N","20+ Years",0,"N",66,"Jewson","November"
"2638","First Aid Injury (TF3)","Struck against stationary object","Normal","Dry/Hot","Y","Stockyard","Y","Full-Time","Internal Sales Office Staff","Y","N","3-6 Months",0,"N",66,"Jewson","February"
"2639","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Full-Time","Counter Sales Staff","N","N","3-5 Years",0,"N",66,"Jewson","May"
"2640","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","6-12 Months",0,"N",35,"Jewson","July"
"2641","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",0,"N",54,"Jewson","December"
"2642","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Wet/Cold","N","Warehouse","Y","Part-Time","Machinery Operative","N","N","10-20 Years",0,"N",61,"Jewson","October"
"2643","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","N","N","10-20 Years",0,"N",54,"Jewson","October"
"2644","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Production/Processing","Y","Full-Time","Machinery Operative","Y","N","10-20 Years",0,"N",46,"Pasquill","June"
"2645","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","1-2 Years",0,"N",35,"International Timber","November"
"2646","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",0,"N",37,"Jewson","November"
"2647","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","5-10 Years",0,"N",55,"Jewson","July"
"2648","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","Y","N","3-5 Years",0,"N",71,"Jewson","July"
"2649","First Aid Injury (TF3)","Exposed to fire or heat","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Management Staff","Y","Y","10-20 Years",0,"N",35,"Gibbs and Dandy Group","December"
"2650","First Aid Injury (TF3)","Fall from a height","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","3-5 Years",0,"N",35,"International Decorative Surfaces","May"
"2651","First Aid Injury (TF3)","Contact with moving machinery","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","10-20 Years",0,"N",56,"Jewson","July"
"2652","First Aid Injury (TF3)","Fall from a height","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","1-2 Years",0,"N",33,"Jewson","December"
"2653","First Aid Injury (TF3)","Contact with moving machinery","Dry","Wet/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","5-10 Years",0,"N",39,"International Decorative Surfaces","October"
"2654","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","20+ Years",0,"N",53,"International Decorative Surfaces","October"
"2655","First Aid Injury (TF3)","Manual Handling","Normal","Dry/Cold","Y","Production/Processing","Y","Full-Time","Machinery Operative","Y","N","1-2 Years",0,"N",41,"Pasquill","August"
"2656","First Aid Injury (TF3)","Contact with moving machinery","Dry","Dry/Cold","Y","Production/Processing","Y","Full-Time","Machinery Operative","Y","N","0-3 Months",0,"N",30,"Pasquill","August"
"2657","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",57,"Jewson","January"
"2658","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Production/Processing","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","1-2 Years",0,"N",47,"International Timber","September"
"2659","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Machinery Operative","Y","N","10-20 Years",0,"N",53,"Jewson","November"
"2660","First Aid Injury (TF3)","Struck against stationary object","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","N","Y","2-3 Years",0,"N",29,"Jewson","October"
"2661","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Stockyard","Y","Contractor (<=10hrs/wk)","Yard/Warehouse Operative","Y","N","1-2 Years",0,"Y",49,"Jewson","May"
"2662","First Aid Injury (TF3)","Struck by flying objects/debris","Wet","Wet/Cold","Y","Stockyard","Y","Contractor (<=10hrs/wk)","Management Staff","N","N","3-6 Months",0,"N",25,"International Timber","May"
"2663","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","2-3 Years",0,"N",47,"International Decorative Surfaces","October"
"2664","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Production/Processing","Y","Full-Time","Machinery Operative","Y","N","10-20 Years",0,"N",71,"Calders & Grandidge","November"
"2665","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","N","N","3-5 Years",0,"N",29,"Jewson","May"
"2666","First Aid Injury (TF3)","Manual Handling","Dry","Wind","Y","Stockyard","Y","PermanentContractor(>10hrs/wk)","Yard/Warehouse Operative","Y","N","20+ Years",0,"N",46,"Jewson","December"
"2667","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Maintenance Workshop/Area","Y","Full-Time","Machinery Operative","N","N","5-10 Years",0,"N",31,"Minster Insulation and Drylining","October"
"2668","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Stockyard","Y","PermanentContractor(>10hrs/wk)","Yard/Warehouse Operative","Y","N","2-3 Years",0,"N",31,"Jewson","April"
"2669","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","2-3 Years",0,"N",47,"International Decorative Surfaces","November"
"2670","First Aid Injury (TF3)","Involving Forklift Truck (FLT)","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","N","Y","0-3 Months",0,"N",29,"International Timber","October"
"2671","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Production/Processing","Y","Full-Time","Machinery Operative","N","Y","10-20 Years",0,"N",32,"Calders & Grandidge","June"
"2672","First Aid Injury (TF3)","Exposed to fire or heat","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","6-12 Months",0,"N",49,"Jewson","June"
"2673","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Hot","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","N","N","10-20 Years",0,"N",37,"Jewson","February"
"2674","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","N","N","3-5 Years",0,"N",47,"International Timber","November"
"2675","First Aid Injury (TF3)","Involving Forklift Truck (FLT)","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","20+ Years",0,"N",57,"Gibbs and Dandy Group","December"
"2676","First Aid Injury (TF3)","Struck against stationary object","Wet","Wet/Cold","N","Offices/Showroom","Y","Full-Time","Management Staff","N","N","10-20 Years",0,"N",51,"Jewson","August"
"2677","First Aid Injury (TF3)","Slipped, trip or fall (level)","Normal","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","10-20 Years",0,"N",56,"Jewson","June"
"2678","First Aid Injury (TF3)","Contact with moving machinery","Wet","Wet/Cold","Y","Maintenance Workshop/Area","Y","Full-Time","HGV/LGV Driver","Y","N","3-5 Years",0,"N",46,"Pasquill","October"
"2679","First Aid Injury (TF3)","Exposed to harmful substance","Normal","Dry/Hot","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","10-20 Years",0,"N",56,"Jewson","February"
"2680","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","10-20 Years",0,"N",52,"Jewson","April"
"2681","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","10-20 Years",0,"N",56,"Jewson Civils","September"
"2682","First Aid Injury (TF3)","Fall from a height","Dry","Dry/Cold","Y","Stockyard","Y","PermanentContractor(>10hrs/wk)","HGV/LGV Driver","Y","N","6-12 Months",0,"N",33,"Jewson","October"
"2683","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","N","N","5-10 Years",0,"N",61,"Jewson","May"
"2684","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","10-20 Years",0,"N",37,"Jewson","April"
"2685","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Icy/Cold","Y","Stockyard","Y","Full-Time","Internal Sales Office Staff","Y","N","20+ Years",0,"N",60,"Jewson","May"
"2686","First Aid Injury (TF3)","Struck by flying objects/debris","Wet","Wind","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","10-20 Years",0,"N",54,"J.P. Corry Group Ltd","August"
"2687","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","20+ Years",0,"N",57,"Jewson","May"
"2688","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offices/Showroom","Y","Customer","Counter Sales Staff","N","N","6-12 Months",0,"N",30,"Ceramic Tile Distributors","June"
"2689","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Counter Sales Staff","Y","N","10-20 Years",0,"N",45,"Gibbs and Dandy Group","November"
"2690","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offices/Showroom","Y","Customer","Internal Sales Office Staff","N","N","10-20 Years",0,"N",45,"Jewson Civils","April"
"2691","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Hot","Y","Stockyard","Y","Full-Time","Management Staff","N","N","20+ Years",0,"N",31,"Jewson","July"
"2692","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","N","Offices/Showroom","Y","Full-Time","HGV/LGV Driver","N","N","5-10 Years",0,"N",31,"Jewson","June"
"2693","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","0-3 Months",0,"N",22,"Jewson","September"
"2694","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Stockyard","Y","Customer","Yard/Warehouse Operative","N","N","20+ Years",0,"N",66,"Graham","January"
"2695","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","3-6 Months",0,"N",24,"IDS Independant","June"
"2696","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","0-3 Months",0,"N",24,"Jewson","August"
"2697","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","0-3 Months",0,"N",24,"Jewson","September"
"2698","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","N","N","1-2 Years",0,"N",28,"Jewson","September"
"2699","First Aid Injury (TF3)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","10-20 Years",0,"N",60,"Jewson","May"
"2700","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Management Staff","N","N","2-3 Years",0,"N",42,"Jewson","August"
"2701","First Aid Injury (TF3)","Slipped, trip or fall (level)","Normal","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",0,"N",65,"Jewson","August"
"2702","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",0,"N",58,"Jewson","May"
"2703","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",30,"Jewson","July"
"2704","First Aid Injury (TF3)","Trapped by collapsing struct.","Dry","Dry/Cold","N","Offices/Showroom","Y","Full-Time","Management Staff","Y","N","3-6 Months",0,"N",44,"Jewson","May"
"2705","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Stockyard","Y","Customer","Internal Sales Office Staff","N","N","10-20 Years",0,"N",42,"Jewson","January"
"2706","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Hot","Y","Stockyard","Y","Full-Time","Internal Sales Office Staff","Y","N","20+ Years",0,"N",48,"Graham","July"
"2707","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","Internal Sales Office Staff","N","N","1-2 Years",0,"N",41,"Jewson","January"
"2708","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Contractor (<=10hrs/wk)","Yard/Warehouse Operative","N","N","3-5 Years",0,"N",34,"Jewson","July"
"2709","First Aid Injury (TF3)","Contact with moving machinery","Dry","Dry/Hot","Y","Offices/Showroom","Y","Full-Time","Management Staff","Y","N","20+ Years",0,"N",57,"Jewson","December"
"2710","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","20+ Years",0,"N",57,"Jewson","January"
"2711","First Aid Injury (TF3)","Manual Handling","Wet","Icy/Cold","Y","Stockyard","Y","Customer","Yard/Warehouse Operative","Y","N","2-3 Years",0,"Y",24,"Jewson","May"
"2712","First Aid Injury (TF3)","Manual Handling","Wet","Wet/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",0,"N",56,"Jewson","August"
"2713","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","10-20 Years",0,"N",48,"Jewson","June"
"2714","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","HGV/LGV Driver","N","N","10-20 Years",0,"N",56,"Jewson","March"
"2715","First Aid Injury (TF3)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","N","20+ Years",0,"N",56,"Jewson","March"
"2716","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Internal Sales Office Staff","Y","N","3-6 Months",0,"N",31,"Jewson","October"
"2717","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","N","Offices/Showroom","Y","Full-Time","Management Staff","Y","N","6-12 Months",0,"N",60,"Jewson","October"
"2718","First Aid Injury (TF3)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Offices/Showroom","Y","Full-Time","Management Staff","Y","N","10-20 Years",0,"N",39,"Normans","October"
"2719","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Stockyard","Y","Temporary Worker/Agency","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",25,"Jewson","February"
"2720","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Stockyard","Y","Temporary Worker/Agency","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",54,"Minster Insulation and Drylining","February"
"2721","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","MHE/Forklift Truck Operator","Y","Y","6-12 Months",0,"N",21,"Graham","February"
"2722","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Management Staff","N","Y","1-2 Years",0,"N",53,"Jewson","July"
"2723","First Aid Injury (TF3)","Exposed to harmful substance","Dry","Icy/Cold","Y","Warehouse","Y","Temporary Worker/Agency","Counter Sales Staff","Y","N","1-2 Years",0,"N",27,"Bassetts","May"
"2724","First Aid Injury (TF3)","Struck against stationary object","Dry","Icy/Cold","Y","Offices/Showroom","Y","Temporary Worker/Agency","Counter Sales Staff","N","N","6-12 Months",0,"N",24,"Jewson","September"
"2725","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",23,"Jewson","February"
"2726","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Temporary Worker/Agency","Counter Sales Staff","Y","N","20+ Years",0,"N",53,"Jewson","May"
"2727","First Aid Injury (TF3)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",0,"N",45,"Jewson","February"
"2728","First Aid Injury (TF3)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","0-3 Months",0,"N",39,"Jewson","May"
"2729","First Aid Injury (TF3)","Struck against stationary object","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","2-3 Years",0,"N",45,"Ceramic Tile Distributors","November"
"2730","First Aid Injury (TF3)","Struck by moving vehicle (not FLT)","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","Y","1-2 Years",0,"N",27,"Jewson","October"
"2731","First Aid Injury (TF3)","Struck by moving vehicle (not FLT)","Wet","Wet/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","Y","1-2 Years",0,"N",33,"International Decorative Surfaces","May"
